"game","title"
"http://dbpedia.org/resource/Night_Wizard!","Night Wizard!"
"http://dbpedia.org/resource/Pokémon_Trading_Figure_Game","Pokémon Trading Figure Game"
"http://dbpedia.org/resource/International_draughts","International draughts"
"http://dbpedia.org/resource/StarCraft:_The_Board_Game","StarCraft: The Board Game: Brood War"
"http://dbpedia.org/resource/Sword_World_RPG","Sword World RPG"
"http://dbpedia.org/resource/Sword_World_RPG","Sword World 2.0"
"http://dbpedia.org/resource/Terra_the_Gunslinger","Terra the Gunslinger"
"http://dbpedia.org/resource/The_Black_Company_(role-playing_game)","The Black Company"
"http://dbpedia.org/resource/The_Black_Company_(role-playing_game)","Campaign Setting"
"http://dbpedia.org/resource/The_Fury_of_Dracula","The Fury of Dracula"
"http://dbpedia.org/resource/True20","True20"
"http://dbpedia.org/resource/Wild_Talents_(role-playing_game)","Wild Talents"
"http://dbpedia.org/resource/Pachisi","Pachisi"
"http://dbpedia.org/resource/Tafl_games","Tafl"
"http://dbpedia.org/resource/Expanded_Psionics_Handbook","Expanded Psionics Handbook"
"http://dbpedia.org/resource/Battlelords_of_the_23rd_Century","Battlelords of the Twenty-Third Century"
"http://dbpedia.org/resource/Lucky_Seven_(game)","Lucky Seven (game)"
"http://dbpedia.org/resource/Werewolf:_The_Wild_West","Werewolf: The Wild West"
"http://dbpedia.org/resource/Galaxy_Trucker","Galaxy Trucker"
"http://dbpedia.org/resource/Gear_Antique","Gear Antique"
"http://dbpedia.org/resource/Fireborn","Fireborn"
"http://dbpedia.org/resource/The_Grape_Escape","The Grape Escape"
"http://dbpedia.org/resource/Dark_Heresy_(role-playing_game)","Dark Heresy"
"http://dbpedia.org/resource/Perquackey","Perquackey"
"http://dbpedia.org/resource/Stronghold_Builder's_Guidebook","Stronghold Builder's Guidebook"
"http://dbpedia.org/resource/Kingdom_Builder","Kingdom Builder"
"http://dbpedia.org/resource/Adventure!","Adventure!"
"http://dbpedia.org/resource/Aftermath!","Aftermath!"
"http://dbpedia.org/resource/Assassin_(game)","Assassin"
"http://dbpedia.org/resource/Australian_handball","Australian handball"
"http://dbpedia.org/resource/Beyond_the_Supernatural","Beyond the Supernatural"
"http://dbpedia.org/resource/Cadwallon_(role-playing_game)","Cadwallon"
"http://dbpedia.org/resource/Camp_Granada","Camp Granada"
"http://dbpedia.org/resource/Cards_Against_Humanity","Cards Against Humanity"
"http://dbpedia.org/resource/Castle_Falkenstein_(role-playing_game)","Castle Falkenstein"
"http://dbpedia.org/resource/Chill_(role-playing_game)","Chill"
"http://dbpedia.org/resource/Classic_Empire","Empire"
"http://dbpedia.org/resource/Conan:_Adventures_in_an_Age_Undreamed_Of","''Conan: Adventures in"
"http://dbpedia.org/resource/Conan:_Adventures_in_an_Age_Undreamed_Of","an Age Undreamed Of''"
"http://dbpedia.org/resource/Conan:_The_Roleplaying_Game","Conan: The Roleplaying Game"
"http://dbpedia.org/resource/Conan_Role-Playing_Game","Conan Role-Playing Game"
"http://dbpedia.org/resource/DragonStrike_(board_game)","DragonStrike"
"http://dbpedia.org/resource/Eclipse_(board_game)","Eclipse"
"http://dbpedia.org/resource/Engel_(role-playing_game)","Engel"
"http://dbpedia.org/resource/Exodus_(role-playing_game)","Exodus"
"http://dbpedia.org/resource/Express_Monopoly","Express Monopoly"
